topic_import_id,subcategory,event,question,answer_type,answer_options,start_date,expiration_date,resolution_date,priority
f1-monaco-grand-prix-2026-race,F1,F1 2026 Season,Who will win the Driver's Championship?,multiple_choice,Antonelli||Russell||Leclerc||Hamilton||Norris||Piastri||Verstappen||Gasly||Bearman||Lawson||Colapinto||Hadjar||Sainz||Lindblad||Bortoleto||Ocon||Albon||Hulkenberg||Bottas||Perez||Stroll||Alonso,2026-06-06T00:00:00,2026-06-07T00:00:00,2026-06-07T04:00:00,1
f1-monaco-grand-prix-2026-race,F1,F1 2026 Season,Which team will win the Contructor's Cup?,multiple_choice,Mercedes||Ferrari||McLaren||Red Bull Racing||Alpine||Haas F1 Team||Racing Bulls||Williams||Audi||Cadillac||Aston Martin,2026-06-06T00:00:00,2026-06-07T00:00:00,2026-06-07T04:00:00,1
f1-monaco-grand-prix-2026-race,F1,Monaco Grand Prix - Race,Who will win the Monaco Grand Prix - Race?,multiple_choice,Antonelli||Russell||Leclerc||Hamilton||Norris||Piastri||Verstappen||Gasly||Bearman||Lawson||Colapinto||Hadjar||Sainz||Lindblad||Bortoleto||Ocon||Albon||Hulkenberg||Bottas||Perez||Stroll||Alonso,2026-06-06T00:00:00,2026-06-07T00:00:00,2026-06-07T04:00:00,1
f1-monaco-grand-prix-2026-race,F1,Monaco Grand Prix - Race,Will there be a full safety car during the race?,yes_no,Yes||No,2026-06-06T00:00:00,2026-06-07T00:00:00,2026-06-07T04:00:00,2
f1-monaco-grand-prix-2026-race,F1,Monaco Grand Prix - Race,Who will finish second in the Monaco Grand Prix - Race?,multiple_choice,Antonelli||Russell||Leclerc||Hamilton||Norris||Piastri||Verstappen||Gasly||Bearman||Lawson||Colapinto||Hadjar||Sainz||Lindblad||Bortoleto||Ocon||Albon||Hulkenberg||Bottas||Perez||Stroll||Alonso,2026-06-06T00:00:00,2026-06-07T00:00:00,2026-06-07T04:00:00,1
f1-monaco-grand-prix-2026-race,F1,Monaco Grand Prix - Race,Who will finish third in the Monaco Grand Prix - Race?,multiple_choice,Antonelli||Russell||Leclerc||Hamilton||Norris||Piastri||Verstappen||Gasly||Bearman||Lawson||Colapinto||Hadjar||Sainz||Lindblad||Bortoleto||Ocon||Albon||Hulkenberg||Bottas||Perez||Stroll||Alonso,2026-06-06T00:00:00,2026-06-07T00:00:00,2026-06-07T04:00:00,1
f1-monaco-grand-prix-2026-race,F1,Monaco Grand Prix - Race,Will Antonelli finish in the top 10?,yes_no,Yes||No,2026-06-06T00:00:00,2026-06-07T00:00:00,2026-06-07T04:00:00,2
f1-monaco-grand-prix-2026-race,F1,Monaco Grand Prix - Race,Will Russell finish in the top 10?,yes_no,Yes||No,2026-06-06T00:00:00,2026-06-07T00:00:00,2026-06-07T04:00:00,2
f1-monaco-grand-prix-2026-race,F1,Monaco Grand Prix - Race,Will Leclerc finish in the top 10?,yes_no,Yes||No,2026-06-06T00:00:00,2026-06-07T00:00:00,2026-06-07T04:00:00,2
f1-monaco-grand-prix-2026-race,F1,Monaco Grand Prix - Race,Will Hamilton finish in the top 10?,yes_no,Yes||No,2026-06-06T00:00:00,2026-06-07T00:00:00,2026-06-07T04:00:00,2
f1-monaco-grand-prix-2026-race,F1,Monaco Grand Prix - Race,Will Norris finish in the top 10?,yes_no,Yes||No,2026-06-06T00:00:00,2026-06-07T00:00:00,2026-06-07T04:00:00,2
f1-monaco-grand-prix-2026-race,F1,Monaco Grand Prix - Race,Will Piastri finish in the top 10?,yes_no,Yes||No,2026-06-06T00:00:00,2026-06-07T00:00:00,2026-06-07T04:00:00,2
f1-monaco-grand-prix-2026-race,F1,Monaco Grand Prix - Race,Will Verstappen finish in the top 10?,yes_no,Yes||No,2026-06-06T00:00:00,2026-06-07T00:00:00,2026-06-07T04:00:00,2
f1-monaco-grand-prix-2026-race,F1,Monaco Grand Prix - Race,Will Gasly finish in the top 10?,yes_no,Yes||No,2026-06-06T00:00:00,2026-06-07T00:00:00,2026-06-07T04:00:00,2
f1-monaco-grand-prix-2026-race,F1,Monaco Grand Prix - Race,Will Bearman finish in the top 10?,yes_no,Yes||No,2026-06-06T00:00:00,2026-06-07T00:00:00,2026-06-07T04:00:00,2
f1-monaco-grand-prix-2026-race,F1,Monaco Grand Prix - Race,Will Lawson finish in the top 10?,yes_no,Yes||No,2026-06-06T00:00:00,2026-06-07T00:00:00,2026-06-07T04:00:00,2
f1-monaco-grand-prix-2026-race,F1,Monaco Grand Prix - Race,Will Colapinto finish in the top 10?,yes_no,Yes||No,2026-06-06T00:00:00,2026-06-07T00:00:00,2026-06-07T04:00:00,2
f1-monaco-grand-prix-2026-race,F1,Monaco Grand Prix - Race,Will Hadjar finish in the top 10?,yes_no,Yes||No,2026-06-06T00:00:00,2026-06-07T00:00:00,2026-06-07T04:00:00,2
f1-monaco-grand-prix-2026-race,F1,Monaco Grand Prix - Race,Will Sainz finish in the top 10?,yes_no,Yes||No,2026-06-06T00:00:00,2026-06-07T00:00:00,2026-06-07T04:00:00,2
