topic_import_id,subcategory,event,question,answer_type,answer_options,start_date,expiration_date,resolution_date,priority
pga-charles-schwab-challenge-2026,GOLF,GOLF 2026 Season,Who will win the FedEx Cup?,multiple_choice,Ludvig Aberg||Akshay Bhatia||Alex Smalley||Rickie Fowler||J.J. Spaun||Russell Henley||Hideki Matsuyama||Gary Woodland||Robert MacIntyre||Matt McCarty||Ryan Gerard||Ryo Hisatsune||Nico Echavarria||Ben Griffin||Sahith Theegala||Justin Thomas||Sudarshan Yellamaraju||Pierceson Coody||Patrick Rodgers||Harry Hall,2026-05-27T00:00:00,2026-05-28T00:00:00,2026-05-28T04:00:00,1
pga-charles-schwab-challenge-2026,GOLF,Charles Schwab Challenge 2026,Who will win the Charles Schwab Challenge 2026?,multiple_choice,Ludvig Aberg||Akshay Bhatia||Alex Smalley||Rickie Fowler||J.J. Spaun||Russell Henley||Hideki Matsuyama||Gary Woodland||Robert MacIntyre||Matt McCarty||Ryan Gerard||Ryo Hisatsune||Nico Echavarria||Ben Griffin||Sahith Theegala||Justin Thomas||Sudarshan Yellamaraju||Pierceson Coody||Patrick Rodgers||Harry Hall||Sam Stevens||Ricky Castillo||Sungjae Im||Andrew Putnam||Austin Smotherman||Michael Kim||David Lipsky||Keith Mitchell||Jordan Smith||Stephan Jaeger||Tom Hoge||Andrew Novak||Michael Thorbjornsen||Taylor Moore||Brandt Snedeker,2026-05-27T00:00:00,2026-05-28T00:00:00,2026-05-28T04:00:00,1
pga-charles-schwab-challenge-2026,GOLF,Charles Schwab Challenge 2026,Will Ludvig Aberg record more than 3 birdies in a round?,yes_no,Yes||No,2026-05-27T00:00:00,2026-05-28T00:00:00,2026-05-28T04:00:00,2
pga-charles-schwab-challenge-2026,GOLF,Charles Schwab Challenge 2026,Will Akshay Bhatia record more than 3 birdies in a round?,yes_no,Yes||No,2026-05-27T00:00:00,2026-05-28T00:00:00,2026-05-28T04:00:00,2
pga-charles-schwab-challenge-2026,GOLF,Charles Schwab Challenge 2026,Will Alex Smalley record more than 3 birdies in a round?,yes_no,Yes||No,2026-05-27T00:00:00,2026-05-28T00:00:00,2026-05-28T04:00:00,2
pga-charles-schwab-challenge-2026,GOLF,Charles Schwab Challenge 2026,Will Rickie Fowler record more than 3 birdies in a round?,yes_no,Yes||No,2026-05-27T00:00:00,2026-05-28T00:00:00,2026-05-28T04:00:00,2
pga-charles-schwab-challenge-2026,GOLF,Charles Schwab Challenge 2026,Will J.J. Spaun record more than 3 birdies in a round?,yes_no,Yes||No,2026-05-27T00:00:00,2026-05-28T00:00:00,2026-05-28T04:00:00,2
pga-charles-schwab-challenge-2026,GOLF,Charles Schwab Challenge 2026,Will Ludvig Aberg record more than 4 birdies in a round?,yes_no,Yes||No,2026-05-27T00:00:00,2026-05-28T00:00:00,2026-05-28T04:00:00,2
pga-charles-schwab-challenge-2026,GOLF,Charles Schwab Challenge 2026,Will Akshay Bhatia record more than 4 birdies in a round?,yes_no,Yes||No,2026-05-27T00:00:00,2026-05-28T00:00:00,2026-05-28T04:00:00,2
pga-charles-schwab-challenge-2026,GOLF,Charles Schwab Challenge 2026,Will Alex Smalley record more than 4 birdies in a round?,yes_no,Yes||No,2026-05-27T00:00:00,2026-05-28T00:00:00,2026-05-28T04:00:00,2
pga-charles-schwab-challenge-2026,GOLF,Charles Schwab Challenge 2026,Will Rickie Fowler record more than 4 birdies in a round?,yes_no,Yes||No,2026-05-27T00:00:00,2026-05-28T00:00:00,2026-05-28T04:00:00,2
pga-charles-schwab-challenge-2026,GOLF,Charles Schwab Challenge 2026,Will J.J. Spaun record more than 4 birdies in a round?,yes_no,Yes||No,2026-05-27T00:00:00,2026-05-28T00:00:00,2026-05-28T04:00:00,2
pga-charles-schwab-challenge-2026,GOLF,Charles Schwab Challenge 2026,Will Ludvig Aberg record more than 5 birdies in a round?,yes_no,Yes||No,2026-05-27T00:00:00,2026-05-28T00:00:00,2026-05-28T04:00:00,2
pga-charles-schwab-challenge-2026,GOLF,Charles Schwab Challenge 2026,Will Akshay Bhatia record more than 5 birdies in a round?,yes_no,Yes||No,2026-05-27T00:00:00,2026-05-28T00:00:00,2026-05-28T04:00:00,2
pga-charles-schwab-challenge-2026,GOLF,Charles Schwab Challenge 2026,Will Alex Smalley record more than 5 birdies in a round?,yes_no,Yes||No,2026-05-27T00:00:00,2026-05-28T00:00:00,2026-05-28T04:00:00,2
pga-charles-schwab-challenge-2026,GOLF,Charles Schwab Challenge 2026,Will Rickie Fowler record more than 5 birdies in a round?,yes_no,Yes||No,2026-05-27T00:00:00,2026-05-28T00:00:00,2026-05-28T04:00:00,2
pga-charles-schwab-challenge-2026,GOLF,Charles Schwab Challenge 2026,Will J.J. Spaun record more than 5 birdies in a round?,yes_no,Yes||No,2026-05-27T00:00:00,2026-05-28T00:00:00,2026-05-28T04:00:00,2
pga-charles-schwab-challenge-2026,GOLF,Charles Schwab Challenge 2026,Will Ludvig Aberg record more than 6 birdies in a round?,yes_no,Yes||No,2026-05-27T00:00:00,2026-05-28T00:00:00,2026-05-28T04:00:00,2
pga-charles-schwab-challenge-2026,GOLF,Charles Schwab Challenge 2026,Will Akshay Bhatia record more than 6 birdies in a round?,yes_no,Yes||No,2026-05-27T00:00:00,2026-05-28T00:00:00,2026-05-28T04:00:00,2
pga-charles-schwab-challenge-2026,GOLF,Charles Schwab Challenge 2026,Will Alex Smalley record more than 6 birdies in a round?,yes_no,Yes||No,2026-05-27T00:00:00,2026-05-28T00:00:00,2026-05-28T04:00:00,2
pga-charles-schwab-challenge-2026,GOLF,Charles Schwab Challenge 2026,Will Rickie Fowler record more than 6 birdies in a round?,yes_no,Yes||No,2026-05-27T00:00:00,2026-05-28T00:00:00,2026-05-28T04:00:00,2
pga-charles-schwab-challenge-2026,GOLF,Charles Schwab Challenge 2026,Will J.J. Spaun record more than 6 birdies in a round?,yes_no,Yes||No,2026-05-27T00:00:00,2026-05-28T00:00:00,2026-05-28T04:00:00,2
pga-charles-schwab-challenge-2026,GOLF,Charles Schwab Challenge 2026,Will Ludvig Aberg finish better than -1 for the Charles Schwab Challenge 2026?,yes_no,Yes||No,2026-05-27T00:00:00,2026-05-28T00:00:00,2026-05-28T04:00:00,2
pga-charles-schwab-challenge-2026,GOLF,Charles Schwab Challenge 2026,Will Akshay Bhatia finish better than -1 for the Charles Schwab Challenge 2026?,yes_no,Yes||No,2026-05-27T00:00:00,2026-05-28T00:00:00,2026-05-28T04:00:00,2
pga-charles-schwab-challenge-2026,GOLF,Charles Schwab Challenge 2026,Will Alex Smalley finish better than -1 for the Charles Schwab Challenge 2026?,yes_no,Yes||No,2026-05-27T00:00:00,2026-05-28T00:00:00,2026-05-28T04:00:00,2
pga-charles-schwab-challenge-2026,GOLF,Charles Schwab Challenge 2026,Will Rickie Fowler finish better than -1 for the Charles Schwab Challenge 2026?,yes_no,Yes||No,2026-05-27T00:00:00,2026-05-28T00:00:00,2026-05-28T04:00:00,2
pga-charles-schwab-challenge-2026,GOLF,Charles Schwab Challenge 2026,Will J.J. Spaun finish better than -1 for the Charles Schwab Challenge 2026?,yes_no,Yes||No,2026-05-27T00:00:00,2026-05-28T00:00:00,2026-05-28T04:00:00,2
pga-charles-schwab-challenge-2026,GOLF,Charles Schwab Challenge 2026,Will Ludvig Aberg finish better than -2 Charles Schwab Challenge 2026?,yes_no,Yes||No,2026-05-27T00:00:00,2026-05-28T00:00:00,2026-05-28T04:00:00,2
pga-charles-schwab-challenge-2026,GOLF,Charles Schwab Challenge 2026,Will Akshay Bhatia finish better than -2 Charles Schwab Challenge 2026?,yes_no,Yes||No,2026-05-27T00:00:00,2026-05-28T00:00:00,2026-05-28T04:00:00,2
pga-charles-schwab-challenge-2026,GOLF,Charles Schwab Challenge 2026,Will Alex Smalley finish better than -2 Charles Schwab Challenge 2026?,yes_no,Yes||No,2026-05-27T00:00:00,2026-05-28T00:00:00,2026-05-28T04:00:00,2
pga-charles-schwab-challenge-2026,GOLF,Charles Schwab Challenge 2026,Will Rickie Fowler finish better than -2 Charles Schwab Challenge 2026?,yes_no,Yes||No,2026-05-27T00:00:00,2026-05-28T00:00:00,2026-05-28T04:00:00,2
pga-charles-schwab-challenge-2026,GOLF,Charles Schwab Challenge 2026,Will J.J. Spaun finish better than -2 Charles Schwab Challenge 2026?,yes_no,Yes||No,2026-05-27T00:00:00,2026-05-28T00:00:00,2026-05-28T04:00:00,2
pga-charles-schwab-challenge-2026,GOLF,Charles Schwab Challenge 2026,Will Ludvig Aberg finish better than -3 Charles Schwab Challenge 2026?,yes_no,Yes||No,2026-05-27T00:00:00,2026-05-28T00:00:00,2026-05-28T04:00:00,2
